ID,Type,subType,Name,Link
1,Action,Adventure,Casino Royale (2006),https://www.rottentomatoes.com/m/casino_royale/
2,Drama,Thriller,The Departed (2006),https://www.rottentomatoes.com/m/departed/
3,Action,-,3:10 to Yuma (2007),https://www.rottentomatoes.com/m/310_to_yuma/
4,Action,Thriller,Batman Begins (2005),https://www.rottentomatoes.com/m/batman_begins/
5,Action,Thriller,The Dark Knight (2008),https://www.rottentomatoes.com/m/the_dark_knight/
6,Action,-,Spider-Man 2 (2004),https://www.rottentomatoes.com/m/spiderman_2/
7,Action,-,Iron Man (2008),https://www.rottentomatoes.com/m/iron_man/
8,Action,-,Spider-Man (2002),https://www.rottentomatoes.com/m/spiderman/
9,Action,-,Star Trek (2009),https://www.rottentomatoes.com/m/star_trek_11/
10,Animated,-,The Incredibles (2004),https://www.rottentomatoes.com/m/incredibles/
11,Animated,Adventure,Finding Nemo (2003),https://www.rottentomatoes.com/m/finding_nemo/
12,Comedy,-,Sideways (2004),https://www.rottentomatoes.com/m/sideways/
13,Comedy,Thriller,Shuan of the Dead (2005),https://www.rottentomatoes.com/m/shaun_of_the_dead/
14,Comedy,-,Borat (2006),https://www.rottentomatoes.com/m/borat/
15,Adventure,Drama,Master and Commander (2003),https://www.rottentomatoes.com/m/master_and_commander_the_far_side_of_the_world/
16,Action,-,Crouching Tiger Hidden Dragon (2001),https://www.rottentomatoes.com/m/crouching_tiger_hidden_dragon/
17,Action,Adventure,War of the Worlds (2005),https://www.rottentomatoes.com/m/war_of_the_worlds/
18,Adventure,Adventure,The Day After Tomorrow (2004),https://www.rottentomatoes.com/m/day_after_tomorrow/
19,Animated,-,Shrek (2001),https://www.rottentomatoes.com/m/shrek/
20,Comedy,-,Juno (2007),https://www.rottentomatoes.com/m/juno/
21,Comedy,-,Hairspray (2007),https://www.rottentomatoes.com/m/hairspray/
22,Comedy,-,Superbad (2007),https://www.rottentomatoes.com/m/superbad/
23,Comedy,-,Dope (2015),https://www.rottentomatoes.com/m/dope_2015
24,Drama,-,The Spectacular Now (2013),https://www.rottentomatoes.com/m/the_spectacular_now
25,Action,-,The Amazing Spiderman (2012),https://www.rottentomatoes.com/m/the_amazing_spider_man
26,Comedy,-,21 Jump Steet (2012),https://www.rottentomatoes.com/m/21_jump_street_2011
27,Drama,-,Friday Night Lights (2004),https://www.rottentomatoes.com/m/friday_night_lights
28,Comedy,-,Mean Girls (2004),https://www.rottentomatoes.com/m/mean_girls
29,Drama,-,Donnie Darko (2001),https://www.rottentomatoes.com/m/donnie_darko
30,Action,Thriller,Logan (2017),https://www.rottentomatoes.com/m/logan_2017/
31,Action,-,The Avengers (2012),https://www.rottentomatoes.com/m/marvels_the_avengers/
32,Action,-,Captain America: Civil War,https://www.rottentomatoes.com/m/captain_america_civil_war/
33,Action,Adventure,Guardians of the Galaxy (2014),https://www.rottentomatoes.com/m/guardians_of_the_galaxy/
34,Action,-,X-Men: Days of Future Past,https://www.rottentomatoes.com/m/x_men_days_of_future_past/
35,Animated,-,The Lego Batman Movie,https://www.rottentomatoes.com/m/the_lego_batman_movie/
36,Action,Comedy,Deadpool (2016),https://www.rottentomatoes.com/m/deadpool/
37,Animated,-,Big Hero 6 (2014),https://www.rottentomatoes.com/m/big_hero_6/
37,Adventure,Action,Star Wars (1977),https://www.rottentomatoes.com/m/star_wars
37,Drama,Thiller,Fight Club (1999),https://www.rottentomatoes.com/m/fight_club
37,Comedy,Romance,Groundhog Day (1993),https://www.rottentomatoes.com/m/groundhog_day
37,Comedy,-,The Hangover (2009),https://www.rottentomatoes.com/m/10010667_hangover
37,Comedy,-,Little Miss Sunshine (2006),https://www.rottentomatoes.com/m/little_miss_sunshine
37,Comedy,-,The Big Lebowski (1998),https://www.rottentomatoes.com/m/big_lebowski
37,Comedy,Thriller,Fargo (1996),https://www.rottentomatoes.com/m/fargo
37,Comedy,Adventure,Forrest Gump (1994),https://www.rottentomatoes.com/m/forrest_gump
37,Drama,-,Schindler's List (1993),https://www.rottentomatoes.com/m/schindlers_list
37,Drama,-,The Pianist (2002),https://www.rottentomatoes.com/m/pianist
37,Drama,Action,Saving Private Ryan (1998),https://www.rottentomatoes.com/m/saving_private_ryan
37,Drama,Action,Apocalypse Now (1979),https://www.rottentomatoes.com/m/apocalypse_now
37,Drama,Action,Braveheart (1995),https://www.rottentomatoes.com/m/1065684_braveheart
37,Drama,Action,Gladiator (2000),https://www.rottentomatoes.com/m/gladiator
37,Romance,Adventure,The Princess Bride (1987),https://www.rottentomatoes.com/m/princess_bride
37,Drama,Comedy,Big Fish (2003),https://www.rottentomatoes.com/m/1127787_big_fish
37,Adventure,-,Lord of the Rings Trilogy,https://www.rottentomatoes.com/franchise/lord_of_the_rings
37,Adventure,Comedy,Back to the Future (1985),https://www.rottentomatoes.com/m/back_to_the_future
37,Drama,Thriller,V for Vendetta (2006),https://www.rottentomatoes.com/m/v_for_vendetta
37,Drama,Action,The Matrix (1999),https://www.rottentomatoes.com/m/matrix
37,Action,Thriller,Alien (1979),https://www.rottentomatoes.com/m/alien
37,Thriller,Drama,The Prestige (2006),https://www.rottentomatoes.com/m/prestige
37,Drama,Thriller,Se7en (1995),https://www.rottentomatoes.com/m/seven
,Comedy,-,Wedding Crashers (2005),https://www.rottentomatoes.com/m/wedding_crashers
37,Drama,-,The Shawshank Redemption (1994),https://www.rottentomatoes.com/m/shawshank_redemption
37,Drama,-,Million Dollar Baby (2004),https://www.rottentomatoes.com/m/million_dollar_baby
37,Drama,-,The Wrestler (2008),https://www.rottentomatoes.com/m/the_wrestler
37,Adventure,Drama,Stand By Me (1986),https://www.rottentomatoes.com/m/stand_by_me_1986
37,Adventure,Drama,Into The Wild (2007),https://www.rottentomatoes.com/m/into_the_wild
37,Adventure,Drama,Slumdog Millionare (2008),https://www.rottentomatoes.com/m/slumdog_millionaire
37,Drama,-,Hotel Rwanda (2004),https://www.rottentomatoes.com/m/hotel_rwanda
37,Action,Thriller,Sin City (2005),https://www.rottentomatoes.com/m/sin_city
,,-,Good Will Hunting (1997),https://www.rottentomatoes.com/m/good_will_hunting
,Animated,-,WALL-E (2008),https://www.rottentomatoes.com/m/wall_e
,Animated,-,Up (2009),https://www.rottentomatoes.com/m/up
,Animated,-,Ratatouille (2007),https://www.rottentomatoes.com/m/ratatouille
,Drama,Romance,The Curious Case of Benjamin Button (2008),https://www.rottentomatoes.com/m/curious_case_of_benjamin_button
,Drama,-,The Green Mile (1999),https://www.rottentomatoes.com/m/green_mile
,Drama,-,Crash (2004),https://www.rottentomatoes.com/m/1144992_crash
,Drama,-,Gran Torino (2009),https://www.rottentomatoes.com/m/gran_torino
,Drama,-,American History X (1998),https://www.rottentomatoes.com/m/american_history_x
